State,Dem,GOP,Date,Pollster
New Hampshire,49,46,Aug-12,U. of New Hampshire-12
New Hampshire,49,45,Jul-15,U. of New Hampshire-11
New Hampshire,45,45,Jun-25,Marist Coll.-2
New Hampshire,51,43,Jun-24,ARG-4
New Hampshire,48,43,Jun-20,Rasmussen-1
New Hampshire,53,41,May-13,PPP-4
New Hampshire,51,42,Apr-20,U. of New Hampshire-12
New Hampshire,42,44,Apr-05,Dartmouth College-4
New Hampshire,48,41,Mar-18,ARG-4
New Hampshire,50,40,Feb-02,U. of New Hampshire-9
New Hampshire,54,45,Jan-01,Election 2008-1
New Jersey,51,41,Oct-25,Global Strategy-3
New Jersey,54,40,Oct-18,SurveyUSA-2
New Jersey,53,38,Oct-18,Richard Stockton College-7
New Jersey,51,43,Oct-14,Quinnipiac U.-5
New Jersey,51,40,Oct-08,Global Strategy-5
New Jersey,56,39,Sep-30,Rutgers-Eagleton-4
New Jersey,52,37,Sep-23,Monmouth U.-5
New Jersey,51,37,Sep-12,Global Strategy-4
New Jersey,52,38,Sep-12,Fairleigh Dickinson U.-7
New Jersey,51,44,Sep-02,Quinnipiac U.-7
New Jersey,51,37,Aug-25,Rutgers-Eagleton-3
New Jersey,49,36,Jul-29,Fairleigh Dickinson U.-7
New Jersey,50,42,Jul-22,Monmouth U.-5
New Jersey,49,38,Jul-15,Quinnipiac U.-7
New Jersey,56,33,Jun-04,Rutgers-Eagleton-5
New Jersey,49,39,May-14,Quinnipiac U.-6
New Jersey,50,36,May-06,Fairleigh Dickinson U.-7
New Jersey,49,40,Apr-09,Quinnipiac U.-7
New Jersey,50,37,Mar-11,Fairleigh Dickinson U.-7
New Jersey,52,38,Feb-26,SurveyUSA-3
New Jersey,49,39,Feb-27,Quinnipiac U.-7
New Jersey,56,31,Feb-11,Rutgers-Eagleton-3
New Jersey,48,38,Jan-16,Quinnipiac U.-7
New Jersey,52,37,Jan-09,PPP-4
New Jersey,57,42,Jan-01,Election 2008-1
New Mexico,50,41,Oct-25,Research and Polling-3
New Mexico,53,44,Oct-24,PPP-2
New Mexico,49,39,Oct-11,Research and Polling-3
New Mexico,54,43,Oct-08,Rasmussen-1
New Mexico,52,43,Oct-03,PPP-2
New Mexico,51,40,Sep-27,Rasmussen-1
New Mexico,53,42,Sep-09,PPP-3
New Mexico,45,40,Sep-06,Research and Polling-4
New Mexico,52,38,Aug-21,Rasmussen-1
New Mexico,49,44,Jul-16,PPP-4
New Mexico,54,40,Apr-22,PPP-4
New Mexico,52,36,Apr-03,Rasmussen-1
New Mexico,55,36,Feb-14,Rasmussen-1
New Mexico,57,42,Jan-01,Election 2008-1
New York,62,33,Oct-25,SurveyUSA-3
New York,59,35,Oct-24,Siena Coll.-3
New York,61,35,Oct-21,Marist Coll.-4
New York,62,34,Sep-09,Quinnipiac U.-6
New York,62,33,Aug-19,Siena Coll.-6
New York,55,32,Jul-23,Quinnipiac U.-7
New York,61,34,Jul-15,Siena Coll.-6
New York,59,35,Jun-06,Siena Coll.-4
New York,56,31,May-28,Quinnipiac U.-7
New York,57,37,May-10,Siena Coll.-5
New York,57,35,Apr-12,Marist Coll.-3
New York,60,35,Apr-04,Siena Coll.-4
New York,56,33,Apr-02,Quinnipiac U.-6
New York,60,34,Feb-29,Siena Coll.-4
New York,60,30,Feb-26,SurveyUSA-3
New York,52,35,Feb-13,Quinnipiac U.-6
New York,63,31,Feb-01,Siena Coll.-4
New York,58,35,Jan-19,Marist Coll.-2
New York,63,36,Jan-01,Election 2008-1
North Carolina,49,49,Nov-04,PPP-2
North Carolina,49,49,Oct-31,PPP-3
North Carolina,45,50,Oct-29,SurveyUSA-4
North Carolina,45,46,Oct-30,High Point University-9
North Carolina,46,52,Oct-25,Rasmussen-1
North Carolina,48,48,Oct-25,PPP-3
North Carolina,45,45,Oct-26,Elon U.-6
North Carolina,46,52,Oct-17,Rasmussen-1
North Carolina,47,49,Oct-14,PPP-3
North Carolina,48,51,Oct-09,Rasmussen-1
North Carolina,46,45,Oct-10,High Point University-12
North Carolina,47,51,Oct-02,Rasmussen-1
North Carolina,49,47,Oct-01,SurveyUSA-3
North Carolina,46,50,Sep-30,ARG-3
North Carolina,48,48,Sep-30,PPP-4
North Carolina,48,46,Sep-25,Marist Coll.-3
North Carolina,48,46,Sep-19,Purple Strategies-5
North Carolina,45,51,Sep-13,Rasmussen-1
North Carolina,46,43,Sep-18,High Point University-11
North Carolina,49,48,Sep-09,PPP-3
North Carolina,43,53,Sep-06,SurveyUSA-3
North Carolina,48,48,Sep-02,PPP-3
North Carolina,43,46,Aug-30,SurveyUSA-5
North Carolina,43,47,Aug-30,Elon U.-6
North Carolina,47,48,Aug-26,ORC International-5
North Carolina,43,43,Aug-23,SurveyUSA-6
North Carolina,49,46,Aug-05,PPP-4
North Carolina,44,49,Aug-01,Rasmussen-1
North Carolina,47,46,Jul-08,PPP-4
North Carolina,48,49,Jul-08,Project New America-8
North Carolina,45,50,Jul-01,SurveyUSA-3
North Carolina,44,47,Jun-25,Rasmussen-1
North Carolina,46,44,Jun-25,Marist Coll.-2
North Carolina,46,48,Jun-10,PPP-4
North Carolina,44,45,May-21,SurveyUSA-4
North Carolina,43,51,May-14,Rasmussen-1
North Carolina,48,47,May-13,PPP-4
North Carolina,47,43,Apr-30,SurveyUSA-5
North Carolina,44,46,Apr-10,Rasmussen-1
North Carolina,49,44,Apr-07,PPP-4
North Carolina,47,47,Apr-05,Marist Coll.-4
North Carolina,49,46,Mar-11,PPP-4
North Carolina,47,46,Feb-05,PPP-3
North Carolina,46,45,Jan-08,PPP-4
North Carolina,50,49,Jan-01,Election 2008-1
North Dakota,38,55,Oct-28,Pharos Research Group-3
North Dakota,40,54,Oct-28,Mason Dixon-3
North Dakota,39,49,Oct-21,Pharos Research Group-3
North Dakota,40,54,Oct-18,Rasmussen-2
North Dakota,32,57,Oct-15,Essman Research-4
North Dakota,40,54,Oct-05,Mason Dixon-3
North Dakota,36,51,Jul-11,Rasmussen-2
North Dakota,39,52,Jun-06,Mason Dixon-3
North Dakota,45,53,Jan-01,Election 2008-1
Ohio,49,49,Nov-04,Rasmussen-1
Ohio,52,47,Nov-04,PPP-2
Ohio,48,44,Nov-04,IPSOS-3
Ohio,49,44,Nov-04,SurveyUSA-4
Ohio,50,42,Nov-03,Zogby-3
Ohio,50,49,Nov-04,U. of Cincinnati-5
Ohio,49,49,Nov-01,Rasmussen-1
Ohio,51,45,Nov-01,Marist Coll.-2
Ohio,47,45,Nov-01,IPSOS-3
Ohio,50,47,Nov-01,ORC International-3
Ohio,50,45,Oct-30,PPP-2
Ohio,48,46,Oct-29,Pulse Opinion Research-1
Ohio,50,48,Nov-03,Columbus Dispatch-11
Ohio,48,45,Oct-30,IPSOS-4
Ohio,48,50,Oct-28,Rasmussen-1
Ohio,49,45,Oct-29,Zogby-3
Ohio,48,45,Oct-29,SurveyUSA-4
Ohio,48,46,Oct-30,U. of Cincinnati-6
Ohio,49,46,Oct-28,Pharos Research Group-3
Ohio,51,47,Oct-28,PPP-3
Ohio,50,45,Oct-28,Quinnipiac U.-6
Ohio,46,44,Oct-25,Purple Strategies-3
Ohio,49,47,Oct-25,ARG-3
Ohio,50,46,Oct-25,ORC International-3
Ohio,48,48,Oct-23,Rasmussen-1
Ohio,49,44,Oct-23,Abt SRBI-2
Ohio,47,44,Oct-22,SurveyUSA-3
Ohio,49,49,Oct-23,U. of Cincinnati-6
Ohio,50,45,Oct-21,Pharos Research Group-3
Ohio,47,47,Oct-21,Suffolk U.-4
Ohio,48,48,Oct-20,Angus-Reid-3
Ohio,49,48,Oct-20,PPP-3
Ohio,50,45,Oct-20,Quinnipiac U.-4
Ohio,46,43,Oct-18,Fox News-2
Ohio,49,48,Oct-17,Rasmussen-1
Ohio,46,47,Oct-15,Pulse Opinion Research-1
Ohio,45,42,Oct-15,SurveyUSA-4
Ohio,51,46,Oct-13,PPP-2
Ohio,48,47,Oct-10,Rasmussen-1
Ohio,46,42,Oct-09,Zogby-3
Ohio,51,45,Oct-09,Marist Coll.-3
Ohio,45,44,Oct-08,SurveyUSA-4
Ohio,47,48,Oct-08,ARG-4
Ohio,51,47,Oct-08,ORC International-4
Ohio,50,49,Oct-04,Rasmussen-1
Ohio,51,43,Oct-01,Marist Coll.-2
Ohio,49,45,Sep-30,PPP-4
Ohio,51,42,Sep-29,Columbus Dispatch-11
Ohio,52,44,Sep-23,Washington Post-5
Ohio,53,43,Sep-24,Quinnipiac U.-7
Ohio,49,42,Sep-18,Fox News-3
Ohio,48,44,Sep-19,Purple Strategies-5
Ohio,51,46,Sep-18,U. of Cincinnati-6
Ohio,47,46,Sep-12,Rasmussen-1
Ohio,48,47,Sep-12,ARG-3
Ohio,50,43,Sep-11,Marist Coll.-3
Ohio,50,45,Sep-09,PPP-3
Ohio,45,45,Aug-25,Columbus Dispatch-11
Ohio,49,46,Aug-21,U. of Cincinnati-6
Ohio,50,44,Aug-21,Quinnipiac U.-7
Ohio,44,46,Aug-14,Purple Strategies-2
Ohio,45,45,Aug-13,Rasmussen-1
Ohio,48,45,Aug-12,PPP-4
Ohio,50,44,Jul-30,Quinnipiac U.-7
Ohio,47,45,Jul-18,Rasmussen-1
Ohio,48,45,Jul-13,Purple Strategies-5
Ohio,47,44,Jun-24,PPP-4
Ohio,47,38,Jun-25,Quinnipiac U.-7
Ohio,45,48,Jun-05,Purple Strategies-6
Ohio,44,46,May-29,Rasmussen-1
Ohio,48,42,May-20,Marist Coll.-4
Ohio,50,43,May-06,PPP-4
Ohio,45,44,May-07,Quinnipiac U.-6
Ohio,44,42,May-01,Quinnipiac U.-7
Ohio,49,44,Apr-23,Purple Strategies-5
Ohio,46,42,Apr-18,Rasmussen-1
Ohio,45,39,Apr-17,Fox News-3
Ohio,48,40,Mar-26,Rasmussen-1
Ohio,47,41,Mar-26,Quinnipiac U.-7
Ohio,50,38,Mar-02,Marist Coll.-2
Ohio,38,44,Feb-13,Fox News-3
Ohio,49,46,Feb-12,Quinnipiac U.-6
Ohio,46,42,Feb-08,Rasmussen-1
Ohio,49,42,Jan-29,PPP-2
Ohio,44,42,Jan-16,Quinnipiac U.-8
Ohio,51,47,Jan-01,Election 2008-1
Oklahoma,33,58,Oct-24,Sooner Poll-7
Oklahoma,29,58,Aug-14,Sooner Poll-20
Oklahoma,27,62,May-10,Sooner Poll-4
Oklahoma,34,66,Jan-01,Election 2008-1
Oregon,52,46,Nov-01,PPP-2
Oregon,47,41,Oct-28,Elway Poll-4
Oregon,49,42,Oct-18,SurveyUSA-3
Oregon,50,41,Sep-13,SurveyUSA-4
Oregon,50,42,Jun-24,PPP-4
Oregon,47,43,May-10,SurveyUSA-4
Oregon,50,39,Mar-19,SurveyUSA-6
Oregon,57,40,Jan-01,Election 2008-1
Pennsylvania,52,46,Nov-03,PPP-2
Pennsylvania,49,46,Nov-03,Muhlenberg Coll.-3
Pennsylvania,49,46,Oct-30,Pulse Opinion Research-1
Pennsylvania,49,45,Oct-28,Franklin+Marshall Coll.-6
Pennsylvania,51,46,Oct-24,Rasmussen-1
Pennsylvania,49,43,Oct-25,Global Strategy-3
Pennsylvania,49,46,Oct-21,Pharos Research Group-3
Pennsylvania,52,42,Oct-20,Angus-Reid-3
Pennsylvania,50,45,Oct-21,Muhlenberg Coll.-5
Pennsylvania,48,44,Oct-15,Pulse Opinion Research-1
Pennsylvania,50,46,Oct-14,Quinnipiac U.-3
Pennsylvania,51,44,Oct-14,PPP-3
Pennsylvania,49,45,Oct-14,Muhlenberg Coll.-5
Pennsylvania,51,46,Oct-09,Rasmussen-1
Pennsylvania,47,45,Oct-08,Pulse Opinion Research-1
Pennsylvania,50,42,Oct-08,Global Strategy-5
Pennsylvania,43,40,Oct-05,Siena Coll.-5
Pennsylvania,49,42,Sep-26,Muhlenberg Coll.-5
Pennsylvania,54,42,Sep-24,Quinnipiac U.-7
Pennsylvania,52,43,Sep-23,Franklin+Marshall Coll.-6
Pennsylvania,51,39,Sep-19,Rasmussen-1
Pennsylvania,52,40,Sep-19,PPP-3
Pennsylvania,48,40,Sep-20,Mercyhurst University-9
Pennsylvania,50,41,Sep-16,Muhlenberg Coll.-7
Pennsylvania,50,39,Sep-12,Global Strategy-4
Pennsylvania,51,42,Aug-23,Global Strategy-3
Pennsylvania,49,40,Aug-22,Muhlenberg Coll.-3
Pennsylvania,47,42,Aug-12,Franklin+Marshall Coll.-6
Pennsylvania,53,42,Jul-30,Quinnipiac U.-7
Pennsylvania,49,43,Jul-23,PPP-3
Pennsylvania,48,44,Jul-18,Rasmussen-1
Pennsylvania,45,39,Jun-25,Quinnipiac U.-7
Pennsylvania,46,40,Jun-10,Quinnipiac U.-6
Pennsylvania,48,36,Jun-04,Franklin+Marshall Coll.-7
Pennsylvania,47,41,May-21,Rasmussen-1
Pennsylvania,50,42,May-20,PPP-4
Pennsylvania,47,39,May-01,Quinnipiac U.-7
Pennsylvania,45,40,Apr-01,Muhlenberg Coll.-10
Pennsylvania,45,42,Mar-26,Quinnipiac U.-7
Pennsylvania,49,42,Mar-11,PPP-4
Pennsylvania,46,40,Mar-12,Quinnipiac U.-6
Pennsylvania,48,37,Feb-21,Muhlenberg Coll.-7
Pennsylvania,41,33,Feb-21,Franklin+Marshall Coll.-8
Pennsylvania,45,44,Feb-23,Rasmussen-16
Pennsylvania,41,30,Jan-22,Franklin+Marshall Coll.-6
Pennsylvania,55,44,Jan-01,Election 2008-1
Rhode Island,54,33,Oct-27,Fleming and Assocs.-4
Rhode Island,58,32,Oct-05,Brown U.-10
Rhode Island,57,33,Sep-29,Fleming and Assocs.-4
Rhode Island,54,37,Feb-22,PPP-7
Rhode Island,63,35,Jan-01,Election 2008-1
South Carolina,40,46,Jan-13,IPSOS-4
South Carolina,45,54,Jan-01,Election 2008-1
South Dakota,41,53,Nov-04,Nielson Bros.-5
South Dakota,42,50,Oct-31,Nielson Bros.-4
South Dakota,41,52,Oct-05,Nielson Bros.-5
South Dakota,39,54,Sep-06,Nielson Bros.-9
South Dakota,43,49,Jul-23,Nielson Bros.-5
South Dakota,35,44,Feb-17,Nielson Bros.-3
South Dakota,40,46,Jan-30,PPP-3
South Dakota,45,53,Jan-01,Election 2008-1
Tennessee,34,59,Oct-21,Middle Tenn. State U.-6
Tennessee,40,47,May-09,Princeton Survey-8
Tennessee,39,42,Feb-22,Princeton Survey-7
Tennessee,41,47,Feb-25,Middle Tenn. State U.-13
Tennessee,42,57,Jan-01,Election 2008-1
Texas,39,55,Oct-21,U. of Texas-7
Texas,39,58,Sep-26,Texas Lyceum-17
Texas,35,55,May-13,U. of Texas-7
Texas,43,50,Apr-22,PPP-4
Texas,36,49,Feb-15,U. of Texas-8
Texas,42,49,Jan-15,PPP-4
Texas,44,55,Jan-01,Election 2008-1
Utah,25,70,Oct-31,Mason Dixon-3
Utah,26,69,Nov-01,Dan Jones-7
Utah,20,71,Oct-13,Key Research-5
Utah,26,68,Jun-21,Dan Jones-7
Utah,34,63,Jan-01,Election 2008-1
Vermont,62,25,Aug-21,Castleton State Coll.-11
Vermont,58,33,Feb-22,Castleton State Coll.-12
Vermont,67,30,Jan-01,Election 2008-1
Virginia,48,50,Nov-04,Rasmussen-1
Virginia,51,47,Nov-04,PPP-2
Virginia,47,46,Nov-04,IPSOS-3
Virginia,50,44,Nov-03,Zogby-3
Virginia,48,47,Nov-02,Marist Coll.-2
Virginia,49,44,Nov-01,IPSOS-3
Virginia,49,46,Oct-31,PPP-2
Virginia,49,48,Oct-30,Pulse Opinion Research-1
Virginia,48,46,Oct-30,IPSOS-4
Virginia,45,49,Oct-29,Zogby-3
Virginia,49,47,Oct-28,Quinnipiac U.-6
Virginia,44,49,Oct-26,Roanoke Coll.-4
Virginia,48,50,Oct-24,Rasmussen-1
Virginia,47,47,Oct-25,Purple Strategies-3
Virginia,48,48,Oct-25,Zogby-3
Virginia,51,47,Oct-26,Abt SRBI-5
Virginia,45,47,Oct-24,Fox News-2
Virginia,51,46,Oct-24,PPP-2
Virginia,49,46,Oct-23,Zogby-3
Virginia,49,47,Oct-19,PPP-2
Virginia,47,50,Oct-18,Rasmussen-1
Virginia,49,48,Oct-16,PPP-2
Virginia,47,46,Oct-15,Pulse Opinion Research-1
Virginia,47,48,Oct-14,ARG-3
Virginia,47,49,Oct-11,Rasmussen-1
Virginia,48,48,Oct-08,Pulse Opinion Research-1
Virginia,47,48,Oct-09,Marist Coll.-3
Virginia,51,46,Oct-09,Quinnipiac U.-6
Virginia,50,47,Oct-07,PPP-4
Virginia,48,49,Oct-04,Rasmussen-1
Virginia,50,43,Oct-17,Old Dominion U.-29
Virginia,48,46,Oct-01,Marist Coll.-2
Virginia,49,47,Sep-27,ARG-4
Virginia,46,44,Sep-26,Suffolk U.-3
Virginia,47,39,Sep-28,Roanoke Coll.-10
Virginia,49,43,Sep-19,PPP-3
Virginia,50,43,Sep-18,Fox News-3
Virginia,46,43,Sep-19,Purple Strategies-5
Virginia,51,46,Sep-16,PPP-4
Virginia,52,44,Sep-16,Washington Post-5
Virginia,50,46,Sep-17,Quinnipiac U.-7
Virginia,49,48,Sep-13,Rasmussen-1
Virginia,49,44,Sep-11,Marist Coll.-3
Virginia,47,47,Aug-23,Rasmussen-1
Virginia,50,45,Aug-19,PPP-4
Virginia,45,48,Aug-14,Purple Strategies-2
Virginia,48,46,Aug-07,Rasmussen-1
Virginia,49,45,Aug-06,Quinnipiac U.-7
Virginia,47,46,Jul-17,Rasmussen-2
Virginia,44,44,Jul-16,Quinnipiac U.-7
Virginia,46,44,Jul-13,Purple Strategies-5
Virginia,50,42,Jul-08,PPP-4
Virginia,47,47,Jun-03,Rasmussen-1
Virginia,49,46,Jun-05,Purple Strategies-6
Virginia,47,42,Jun-04,Quinnipiac U.-6
Virginia,49,42,Jun-15,Old Dominion Univ.-31
Virginia,48,44,May-20,Marist Coll.-4
Virginia,51,44,May-02,Washington Post-5
Virginia,51,43,Apr-29,PPP-4
Virginia,44,45,Apr-23,Rasmussen-1
Virginia,48,46,Apr-23,Purple Strategies-5
Virginia,40,46,Apr-05,Roanoke Coll.-11
Virginia,51,42,Mar-20,Rasmussen-1
Virginia,50,42,Mar-18,Quinnipiac U.-6
Virginia,52,35,Mar-02,Marist Coll.-2
Virginia,49,43,Feb-21,Rasmussen-1
Virginia,42,43,Feb-26,Roanoke Coll.-14
Virginia,47,43,Feb-06,Quinnipiac U.-6
Virginia,45,44,Jan-18,Mason Dixon-3
Virginia,53,46,Jan-01,Election 2008-1
Washington,53,46,Nov-03,PPP-3
Washington,54,40,Oct-31,SurveyUSA-4
Washington,57,36,Oct-31,U. of Washington-14
Washington,50,45,Oct-16,PPP-2
Washington,55,42,Oct-14,Rasmussen-1
Washington,54,40,Oct-14,SurveyUSA-3
Washington,52,43,Oct-16,The Washington Poll-16
Washington,52,43,Oct-16,U. of Washington-16
Washington,56,36,Sep-30,SurveyUSA-3
Washington,52,41,Sep-26,Rasmussen-1
Washington,53,36,Sep-12,Elway Poll-4
Washington,53,42,Sep-09,PPP-3
Washington,54,38,Sep-09,SurveyUSA-3
Washington,54,37,Aug-02,SurveyUSA-2
Washington,46,37,Jul-18,SurveyUSA-3
Washington,54,41,Jun-17,PPP-4
Washington,49,41,Jun-16,Elway Poll-4
Washington,50,36,May-09,SurveyUSA-2
Washington,53,38,Feb-19,PPP-4
Washington,50,39,Feb-15,SurveyUSA-3
Washington,49,38,Feb-09,Elway Poll-3
Washington,50,39,Jan-16,SurveyUSA-5
Washington,58,40,Jan-01,Election 2008-1
West Virginia,38,52,Aug-25,R.L. Repass-4
West Virginia,37,54,Apr-28,R.L. Repass-4
West Virginia,43,56,Jan-01,Election 2008-1
Wisconsin,51,48,Nov-03,PPP-2
Wisconsin,49,48,Oct-30,Pulse Opinion Research-1
Wisconsin,51,46,Oct-30,PPP-2
Wisconsin,49,49,Oct-29,Rasmussen-1
Wisconsin,49,46,Oct-29,Marist Coll.-2
Wisconsin,51,42,Oct-29,St. Norbert Coll.-5
Wisconsin,51,43,Oct-28,Marquette Law School-4
Wisconsin,49,49,Oct-25,Rasmussen-1
Wisconsin,51,45,Oct-24,PPP-2
Wisconsin,51,46,Oct-20,Angus-Reid-3
Wisconsin,50,48,Oct-18,Rasmussen-1
Wisconsin,48,46,Oct-17,Mason Dixon-3
Wisconsin,51,45,Oct-17,Marist Coll.-3
Wisconsin,50,47,Oct-15,Pulse Opinion Research-1
Wisconsin,49,48,Oct-14,Marquette Law School-4
Wisconsin,51,49,Oct-09,Rasmussen-1
Wisconsin,50,46,Oct-08,Pulse Opinion Research-1
Wisconsin,50,47,Oct-09,Quinnipiac U.-6
Wisconsin,49,47,Oct-06,PPP-3
Wisconsin,49,39,Sep-30,Zogby-2
Wisconsin,53,42,Sep-30,Marquette Law School-4
Wisconsin,52,45,Sep-19,PPP-2
Wisconsin,49,46,Sep-17,Rasmussen-1
Wisconsin,50,45,Sep-18,Marist Coll.-3
Wisconsin,54,40,Sep-16,Marquette Law School-4
Wisconsin,51,45,Sep-17,Quinnipiac U.-7
Wisconsin,49,48,Sep-13,PPP-2
Wisconsin,49,47,Aug-21,Quinnipiac U.-7
Wisconsin,47,48,Aug-19,PPP-4
Wisconsin,49,46,Aug-19,Marquette Law School-4
Wisconsin,47,48,Aug-15,Rasmussen-1
Wisconsin,49,45,Aug-14,ORC International-2
Wisconsin,50,45,Aug-05,Marquette Law School-4
Wisconsin,51,45,Aug-06,Quinnipiac U.-7
Wisconsin,49,46,Jul-25,Rasmussen-1
Wisconsin,50,44,Jul-08,PPP-4
Wisconsin,51,43,Jul-08,Marquette Law School-4
Wisconsin,49,43,Jun-16,Marquette Law School-4
Wisconsin,44,47,Jun-12,Rasmussen-1
Wisconsin,51,43,May-26,Marquette Law School-4
Wisconsin,49,43,May-22,St. Norbert Coll.-6
Wisconsin,47,46,May-13,PPP-3
Wisconsin,46,46,May-12,Marquette Law School-4
Wisconsin,49,45,May-09,Rasmussen-1
Wisconsin,51,42,Apr-29,Marquette Law School-4
Wisconsin,50,44,Apr-15,PPP-3
Wisconsin,52,41,Mar-27,Rasmussen-1
Wisconsin,52,35,Mar-27,Marist Coll.-2
Wisconsin,48,43,Mar-25,Marquette Law School-4
Wisconsin,47,42,Feb-27,Rasmussen-1
Wisconsin,53,39,Feb-26,PPP-4
Wisconsin,53,38,Feb-19,Marquette Law School-4
Wisconsin,48,40,Jan-22,Marquette Law School-4
Wisconsin,56,42,Jan-01,Election 2008-1
Wyoming,33,65,Jan-01,Election 2008-1
